class
Monumen Sanapati
Monumen Selamat Datang
Monumen Serangan Umum 1 Maret
Monumen Tugu Pahlawan
Monumen Yogya Kembali
Mountain View Golf Club
Museum Bahari Jakarta
Museum Barli
Museum Basoeki Abdullah
Museum Benteng Vredeburg Yogyakarta
Museum De Javasche Bank
Museum Fatahillah
Museum Gedung Sate
Museum Joang 45
Museum Kebangkitan Nasional
Museum Kereta Ambarawa
Museum Kesehatan Dr. Adhyatma
Museum Konferensi Asia Afrika
Museum Layang-layang
Museum Macan (Modern and Contemporary Art in Nusantara)
Museum Mandala Wangsit Siliwangi
Museum Nasional
Museum Nike Ardilla
Museum Pos Indonesia
Museum Sasmita Loka Ahmad Yani
Museum Satria Mandala
Museum Seni Rupa dan Kramik
Museum Sonobudoyo Unit I
Museum Sri Baduga
Museum Sumpah Pemuda
Museum TNI AL Loka Jala Crana
Museum Tekstil
Museum Ullen Sentalu
Museum Wayang
Nol Kilometer Jl.Malioboro
NuArt Sculpture Park
Observatorium Bosscha
Obyek Wisata Goa Kreo
Ocean Ecopark
Old City 3D Trick Art Museum
Orchid Forest Cikole
Panama Park 825
Panghegar Waterboom Bandung
Pantai Baron
Pantai Cipta
Pantai Congot
Pantai Depok Jogja
Pantai Drini
Pantai Glagah
Pantai Goa Cemara
Pantai Greweng
Pantai Indrayanti
Pantai Jogan
Pantai Jungwok
Pantai Kesirat
Pantai Krakal
Pantai Kukup
Pantai Marina
Pantai Maron
Pantai Ngandong
Pantai Nglambor
Pantai Ngrenehan
Pantai Nguluran
Pantai Parangtritis
Pantai Patihan
Pantai Sadranan
Pantai Samas
Pantai Sanglen
Pantai Sedahan
Pantai Sepanjang
Pantai Siung
Pantai Sundak
Pantai Timang
Pantai Watu Kodok
Pantai Wediombo
Pasar Beringharjo
Pasar Kebon Empring Bintaran
Pasar Petak Sembilan
Pasar Seni
Patung Buddha Empat Rupa
Pelabuhan Marina
Pemandian Air Panas Cimanggu
Perkebunan Teh Malabar
Perpustakaan Nasional
Pesona Nirwana Waterpark & Cottages
Peta Park
Pintoe Langit Dahromo
Pulau Bidadari
Pulau Pari
Pulau Pelangi
Pulau Pramuka
Pulau Semak Daun
Puncak Gunung Api Purba - Nglanggeran
Puncak Pinus Becici
Puncak Segoro
Puspa Iptek Sundial
Rabbit Town
Rainbow Garden
Roemah Seni Sarasvati
Rumah Batik
Rumah Sipitung
Saloka Theme Park
Sam Poo Kong Temple
Sanghyang Heuleut
Saung Angklung Mang Udjo
Sea World
Selasar Sunaryo Art Space
Semarang Contemporary Art Gallery
Sendang Geulis Kahuripan
Seribu Batu Songgo Langit
Setu Babakan
Sindu Kusuma Edupark (SKE)
Situ Cileunca
Situ Patenggang
Skyrink - Mall Taman Anggrek
SnowBay Waterpark
Stone Garden Citatah
Studio Alam Gamplong
Sudut Pandang Bandung
Surabaya Museum (Gedung Siola)
Tafso Barn
Taman Agrowisata Cilangkap
Taman Air Mancur Menari Kenjeran
Taman Badak
Taman Balai Kota Bandung
Taman Begonia
Taman Buah Surabaya
Taman Budaya Jawa Barat
Taman Budaya Yogyakarta
Taman Bunga Celosia
Taman Bunga Cihideung
Taman Bungkul
Taman Ekspresi Dan Perpustakaan
Taman Film
Taman Flora Bratang Surabaya
Taman Harmoni Keputih
Taman Hiburan Rakyat
Taman Hutan Raya Ir. H. Djuanda
Taman Impian Jaya Ancol
Taman Ismail Marzuki
Taman Jomblo
Taman Kasmaran
Taman Keputran
Taman Kunang-Kunang
Taman Lalu Lintas Ade Irma Suryani Nasution
Taman Legenda Keong Emas
Taman Menteng
Taman Mini Indonesia Indah (TMII)
Taman Miniatur Kereta Api
Taman Pandanaran
Taman Pelangi
Taman Pelangi Yogyakarta
Taman Pintar Yogyakarta
Taman Srigunting
Taman Sungai Mudal
Taman Suropati
Taman Vanda
Tebing Breksi
Teras Cikapundung BBWS
The Great Asia Africa
The Lodge Maribaya
Tirto Argo Siwarak
Trans Studio Bandung
Tugu Muda Semarang
Tugu Pal Putih Jogja
Tugu Proklamasi
Umbul Sidomukti
Upside Down World Bandung
Waduk Jatibarang
Water Blaster Bukit Candi Golf
Waterboom PIK (Pantai Indah Kapuk)
Watu Goyang
Watu Lumbung
Watu Mabur Mangunan
Wisata Agro Edukatif Istana Susu Cibugary
Wisata Alam Kalibiru
Wisata Alam Wana Wisata Penggaron
Wisata Batu Kuda
Wisata Kaliurang
Wisata Kraton Jogja
Wisata Kuliner Pecenongan
Wisata Lereng Kelir
Wisata Mangrove Tapak
Wot Batu
